price,priceprice
13300000,1330000013300000
12250000,1225000012250000
12250000,1225000012250000
12215000,1221500012215000
11410000,1141000011410000
10850000,1085000010850000
10150000,1015000010150000
10150000,1015000010150000
9870000,98700009870000
9800000,98000009800000
9800000,98000009800000
9681000,96810009681000
9310000,93100009310000
9240000,92400009240000
9240000,92400009240000
9100000,91000009100000
9100000,91000009100000
8960000,89600008960000
8890000,88900008890000
8855000,88550008855000
8750000,87500008750000
8680000,86800008680000
8645000,86450008645000
8645000,86450008645000
8575000,85750008575000
8540000,85400008540000
8463000,84630008463000
8400000,84000008400000
8400000,84000008400000
8400000,84000008400000
8400000,84000008400000
8400000,84000008400000
8295000,82950008295000
8190000,81900008190000
8120000,81200008120000
8080940,80809408080940
8043000,80430008043000
7980000,79800007980000
7962500,79625007962500
7910000,79100007910000
7875000,78750007875000
7840000,78400007840000
7700000,77000007700000
7700000,77000007700000
7560000,75600007560000
7560000,75600007560000
7525000,75250007525000
7490000,74900007490000
7455000,74550007455000
7420000,74200007420000
7420000,74200007420000
7420000,74200007420000
7350000,73500007350000
7350000,73500007350000
7350000,73500007350000
7350000,73500007350000
7343000,73430007343000
7245000,72450007245000
7210000,72100007210000
7210000,72100007210000
7140000,71400007140000
7070000,70700007070000
7070000,70700007070000
7035000,70350007035000
7000000,70000007000000
6930000,69300006930000
6930000,69300006930000
6895000,68950006895000
6860000,68600006860000
6790000,67900006790000
6790000,67900006790000
6755000,67550006755000
6720000,67200006720000
6685000,66850006685000
6650000,66500006650000
6650000,66500006650000
6650000,66500006650000
6650000,66500006650000
6650000,66500006650000
6650000,66500006650000
6629000,66290006629000
6615000,66150006615000
6615000,66150006615000
6580000,65800006580000
6510000,65100006510000
6510000,65100006510000
6510000,65100006510000
6475000,64750006475000
6475000,64750006475000
6440000,64400006440000
6440000,64400006440000
6419000,64190006419000
6405000,64050006405000
6300000,63000006300000
6300000,63000006300000
6300000,63000006300000
6300000,63000006300000
6300000,63000006300000
6293000,62930006293000
6265000,62650006265000
6230000,62300006230000
6230000,62300006230000
6195000,61950006195000
6195000,61950006195000
6195000,61950006195000
6160000,61600006160000
6160000,61600006160000
6125000,61250006125000
6107500,61075006107500
6090000,60900006090000
6090000,60900006090000
6090000,60900006090000
6083000,60830006083000
6083000,60830006083000
6020000,60200006020000
6020000,60200006020000
6020000,60200006020000
5950000,59500005950000
5950000,59500005950000
5950000,59500005950000
5950000,59500005950000
5950000,59500005950000
5950000,59500005950000
5950000,59500005950000
5950000,59500005950000
5943000,59430005943000
5880000,58800005880000
5880000,58800005880000
5873000,58730005873000
5873000,58730005873000
5866000,58660005866000
5810000,58100005810000
5810000,58100005810000
5810000,58100005810000
5803000,58030005803000
5775000,57750005775000
5740000,57400005740000
5740000,57400005740000
5740000,57400005740000
5740000,57400005740000
5740000,57400005740000
